"","sample_name","sector","sector_colour","site","SiteCharacteristic","ST","Number","Location","S","E","Latitude","Longitude"
"1","211_S1","Human","#336699","PKM Jatinegara","02_Community","38",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"2","212_S2","Human","#336699","PKM Jatinegara","02_Community","206",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"3","214_S3","Human","#336699","PKM Jatinegara","02_Community","69",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"4","216_S5","Human","#336699","PKM Jatinegara","02_Community","93",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"5","217_S6","Human","#336699","PKM Jatinegara","02_Community","196",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"6","218_S7","Human","#336699","PKM Jatinegara","02_Community","4450",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"7","219_S8","Human","#336699","PKM Jatinegara","02_Community","9586",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"8","220_S9","Human","#336699","PKM Jatinegara","02_Community","-",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"9","221_S10","Human","#336699","PKM Jatinegara","02_Community","131",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"10","222_S11","Human","#336699","PKM Jatinegara","02_Community","38",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"11","223_S12","Human","#336699","PKM Jatinegara","02_Community","155",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"12","224_S13","Human","#336699","PKM Jatinegara","02_Community","3525",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"13","225_S14","Human","#336699","PKM Jatinegara","02_Community","127",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"14","226_S15","Human","#336699","PKM Jatinegara","02_Community","44",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"15","230_S16","Human","#336699","PKM Jatinegara","02_Community","7584",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"16","231_S17","Human","#336699","PKM Jatinegara","02_Community","127",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"17","233_S18","Human","#336699","PKM Jatinegara","02_Community","3268",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"18","234_S19","Human","#336699","PKM Jatinegara","02_Community","165",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"19","235_S20","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"20","236_S21","Human","#336699","RSCM","01_Hospital","405",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"21","238_S22","Human","#336699","RSCM","01_Hospital","73",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"22","239_S23","Human","#336699","RSCM","01_Hospital","69",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"23","240_S24","Human","#336699","RSCM","01_Hospital","405",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"24","A1","Animal","#9900ff","Pasar Sawah Barat","03_Market","2973",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"25","A1_S1","Human","#336699","RSCM","01_Hospital","38",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"26","A10","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","57",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"27","A11","Animal","#9900ff","RPHU Rawa Kepiting","03_Market","-",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"28","A12","Animal","#9900ff","RPHU Rawa Kepiting","03_Market","189",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"29","A13","Animal","#9900ff","Pasar Pondok Bambu","03_Market","155",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"30","A14","Animal","#9900ff","Pasar Ciplak","03_Market","752",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"31","A15","Animal","#9900ff","Pasar Deprok","03_Market","2711",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"32","A17","Animal","#9900ff","Pasar Sawah Barat","03_Market","752",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"33","A18","Animal","#9900ff","Pasar Sawah Barat","03_Market","155",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"34","A19","Animal","#9900ff","Pasar Sawah Barat","03_Market","48",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"35","A190","Animal","#9900ff","Pasar Pondok Bambu","03_Market","10",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"36","A2","Animal","#9900ff","Pasar Pondok Bambu","03_Market","6854",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"37","A2_S2","Human","#336699","RSCM","01_Hospital","167",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"38","A20","Animal","#9900ff","Pasar Ciplak","03_Market","1485",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"39","A21","Animal","#9900ff","Pasar Deprok","03_Market","2607",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"40","A22","Animal","#9900ff","Pasar Deprok","03_Market","48",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"41","A23","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","361",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"42","A24","Animal","#9900ff","RPHU Rawa Kepiting","03_Market","206",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"43","A25","Animal","#9900ff","Pasar Sawah Barat","03_Market","2732",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"44","A26","Animal","#9900ff","Pasar Ciplak","03_Market","162",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
