sample_name,sector,sector_colour,site,SiteCharacteristic,ST,Number,Location,,,sample,SiteCharacteristic
235_S20,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,A1,01_Hospital
236_S21,Human,#336699,RSCM,01_Hospital,405,2,RSCM,,,A2,02_Community
238_S22,Human,#336699,RSCM,01_Hospital,73,2,RSCM,,,A3,03_Market
239_S23,Human,#336699,RSCM,01_Hospital,69,2,RSCM,,,A4,04_Slaughtherhouse
240_S24,Human,#336699,RSCM,01_Hospital,405,2,RSCM,,,A5,05_Upstream
A1_S1,Human,#336699,RSCM,01_Hospital,38,2,RSCM,,,A6,07_Downstream
A2_S2,Human,#336699,RSCM,01_Hospital,167,2,RSCM,,,A7,08_Hospital wastewater inlet
A3_S3,Human,#336699,RSCM,01_Hospital,69,2,RSCM,,,,
A4_S4,Human,#336699,RSCM,01_Hospital,10,2,RSCM,,,,
A5_S5,Human,#336699,RSCM,01_Hospital,410,2,RSCM,,,,
A6_S6,Human,#336699,RSCM,01_Hospital,117,2,RSCM,,,,
B1_S7,Human,#336699,RSCM,01_Hospital,720,2,RSCM,,,,
B2_S8,Human,#336699,RSCM,01_Hospital,3033,2,RSCM,,,,
B3_S9,Human,#336699,RSCM,01_Hospital,648,2,RSCM,,,,
B4_S10,Human,#336699,RSP,01_Hospital,38,3,RSP,,,,
B5_S11,Human,#336699,RSP,01_Hospital,-,3,RSP,,,,
B6_S12,Human,#336699,RSP,01_Hospital,131,3,RSP,,,,
C1_S13,Human,#336699,RSP,01_Hospital,131,3,RSP,,,,
C2_S14,Human,#336699,RSP,01_Hospital,44,3,RSP,,,,
C3_S15,Human,#336699,RSP,01_Hospital,354,3,RSP,,,,
C4_S16,Human,#336699,RSP,01_Hospital,405,3,RSP,,,,
C5_S17,Human,#336699,RSP,01_Hospital,131,3,RSP,,,,
C6_S18,Human,#336699,RSP,01_Hospital,131,3,RSP,,,,
D1_S19,Human,#336699,RSP,01_Hospital,,3,RSP,,,,
D2_S20,Human,#336699,RSP,01_Hospital,1158,3,RSP,,,,
D3_S21,Human,#336699,RSP,01_Hospital,131,3,RSP,,,,
D4_S22,Human,#336699,RSP,01_Hospital,131,3,RSP,,,,
D5_S23,Human,#336699,RSP,01_Hospital,38,3,RSP,,,,
H200,Human,#336699,RSCM,01_Hospital,38,2,RSCM,,,,
H202,Human,#336699,RSCM,01_Hospital,58,2,RSCM,,,,
H203,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H204,Human,#336699,RSCM,01_Hospital,,2,RSCM,,,,
H205,Human,#336699,RSCM,01_Hospital,127,2,RSCM,,,,
H206,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H207,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H241_S1,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H243_S3,Human,#336699,RSCM,01_Hospital,10,2,RSCM,,,,
H244_S4,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H246_S6,Human,#336699,RSCM,01_Hospital,127,2,RSCM,,,,
H247_S7,Human,#336699,RSCM,01_Hospital,,2,RSCM,,,,
H248_S8,Human,#336699,RSCM,01_Hospital,405,2,RSCM,,,,
H250_S9,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H252_S11,Human,#336699,RSCM,01_Hospital,69,2,RSCM,,,,
H253_S12,Human,#336699,RSCM,01_Hospital,117,2,RSCM,,,,
H254_S13,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H256_S14,Human,#336699,RSCM,01_Hospital,1193,2,RSCM,,,,
H258_S15,Human,#336699,RSCM,01_Hospital,7401,2,RSCM,,,,
H260_S17,Human,#336699,RSCM,01_Hospital,405,2,RSCM,,,,
H261_S18,Human,#336699,RSCM,01_Hospital,405,2,RSCM,,,,
H262_S19,Human,#336699,RSCM,01_Hospital,767,2,RSCM,,,,
H265_S20,Human,#336699,RSCM,01_Hospital,1193,2,RSCM,,,,
H266_S21,Human,#336699,RSCM,01_Hospital,12,2,RSCM,,,,
H268_S23,Human,#336699,RSCM,01_Hospital,683,2,RSCM,,,,
H270_S24,Human,#336699,RSCM,01_Hospital,131,2,RSCM,,,,
H276_S22,Human,#336699,RSCM,01_Hospital,-,2,RSCM,,,,
211_S1,Human,#336699,PKM Jatinegara,02_Community,38,1,PKM Jatinegara,,,,
212_S2,Human,#336699,PKM Jatinegara,02_Community,206,1,PKM Jatinegara,,,,
214_S3,Human,#336699,PKM Jatinegara,02_Community,69,1,PKM Jatinegara,,,,
216_S5,Human,#336699,PKM Jatinegara,02_Community,93,1,PKM Jatinegara,,,,
217_S6,Human,#336699,PKM Jatinegara,02_Community,196,1,PKM Jatinegara,,,,
218_S7,Human,#336699,PKM Jatinegara,02_Community,4450,1,PKM Jatinegara,,,,
219_S8,Human,#336699,PKM Jatinegara,02_Community,9586,1,PKM Jatinegara,,,,
