A190,A4_S4,E100,E105,E106,E119,E120,E127,E133,E156,E183,E63,E64,E81,E96,H243_S3
100.0,99.376144,99.319786,99.167648,99.183853,99.28466,99.402542,99.376404,99.120712,99.180389,99.82164,99.287521,99.315193,99.863861,99.559296,99.338348
99.376144,100.0,99.685028,99.202698,99.201553,99.669121,99.649017,99.799438,99.065231,99.253014,99.341675,99.66098,99.683334,99.322052,99.33963,99.759872
99.319786,99.685028,100.0,99.191376,99.194443,99.708946,99.652664,99.627449,99.062553,99.402809,99.335976,99.970001,99.987083,99.276749,99.320488,99.689545
99.167648,99.202698,99.191376,100.0,99.995926,99.088333,99.123306,99.113724,99.298698,99.132797,99.177643,99.16893,99.197723,99.198174,99.214966,99.179764
99.183853,99.201553,99.194443,99.995926,100.0,99.055679,99.097595,99.104111,99.303413,99.12677,99.17511,99.183983,99.195358,99.171913,99.176941,99.163742
99.28466,99.669121,99.708946,99.088333,99.055679,100.0,99.83976,99.697433,98.999763,99.338959,99.226532,99.661118,99.676079,99.265335,99.310669,99.802483
99.402542,99.649017,99.652664,99.123306,99.097595,99.83976,100.0,99.709259,99.065399,99.3405,99.384811,99.594925,99.595917,99.346832,99.344818,99.711464
99.376404,99.799438,99.627449,99.113724,99.104111,99.697433,99.709259,100.0,99.020966,99.43618,99.351196,99.637863,99.672501,99.296486,99.425354,99.735909
99.120712,99.065231,99.062553,99.298698,99.303413,98.999763,99.065399,99.020966,100.0,98.923866,99.19339,99.012772,99.026672,99.06958,99.100418,99.142136
99.180389,99.253014,99.402809,99.132797,99.12677,99.338959,99.3405,99.43618,98.923866,100.0,99.22583,99.30822,99.371429,99.133255,99.254181,99.359879
99.82164,99.341675,99.335976,99.177643,99.17511,99.226532,99.384811,99.351196,99.19339,99.22583,100.0,99.3284,99.316391,99.6922,99.483559,99.307419
99.287521,99.66098,99.970001,99.16893,99.183983,99.661118,99.594925,99.637863,99.012772,99.30822,99.3284,100.0,99.977386,99.275864,99.32103,99.640518
99.315193,99.683334,99.987083,99.197723,99.195358,99.676079,99.595917,99.672501,99.026672,99.371429,99.316391,99.977386,100.0,99.303467,99.338562,99.617676
99.863861,99.322052,99.276749,99.198174,99.171913,99.265335,99.346832,99.296486,99.06958,99.133255,99.6922,99.275864,99.303467,100.0,99.494659,99.352585
99.559296,99.33963,99.320488,99.214966,99.176941,99.310669,99.344818,99.425354,99.100418,99.254181,99.483559,99.32103,99.338562,99.494659,100.0,99.353981
99.338348,99.759872,99.689545,99.179764,99.163742,99.802483,99.711464,99.735909,99.142136,99.359879,99.307419,99.640518,99.617676,99.352585,99.353981,100.0
