A5_S5,E109,E115,E124,E128,E129,E135,E139,E144,E184,E186,E188,E62,E93
100.0,99.900558,99.74826,99.804794,99.804031,99.789551,99.885956,99.931488,99.857315,99.763237,99.7808,99.779243,99.725739,99.812057
99.900558,100.0,99.827721,99.83197,99.841522,99.820923,99.98082,99.912155,99.863434,99.758698,99.830658,99.819756,99.781479,99.79422
99.74826,99.827721,100.0,99.976997,99.978363,99.926926,99.800156,99.814636,99.676193,99.686768,99.97467,99.967697,99.978111,99.683144
99.804794,99.83197,99.976997,100.0,99.995499,99.948105,99.830475,99.812645,99.705688,99.682312,99.995026,99.987953,99.996948,99.729805
99.804031,99.841522,99.978363,99.995499,100.0,99.948059,99.834763,99.814468,99.706383,99.695053,99.992897,99.992088,99.991714,99.718079
99.789551,99.820923,99.926926,99.948105,99.948059,100.0,99.820557,99.831818,99.799362,99.713409,99.93956,99.936295,99.892715,99.73291
99.885956,99.98082,99.800156,99.830475,99.834763,99.820557,100.0,99.882233,99.853455,99.762787,99.82132,99.81884,99.793091,99.810295
99.931488,99.912155,99.814636,99.812645,99.814468,99.831818,99.882233,100.0,99.82785,99.750427,99.823212,99.771225,99.794426,99.805138
99.857315,99.863434,99.676193,99.705688,99.706383,99.799362,99.853455,99.82785,100.0,99.668648,99.705292,99.691818,99.681931,99.755127
99.763237,99.758698,99.686768,99.682312,99.695053,99.713409,99.762787,99.750427,99.668648,100.0,99.695053,99.673203,99.723885,99.762085
99.7808,99.830658,99.97467,99.995026,99.992897,99.93956,99.82132,99.823212,99.705292,99.695053,100.0,99.988831,99.997101,99.702843
99.779243,99.819756,99.967697,99.987953,99.992088,99.936295,99.81884,99.771225,99.691818,99.673203,99.988831,100.0,99.985504,99.691437
99.725739,99.781479,99.978111,99.996948,99.991714,99.892715,99.793091,99.794426,99.681931,99.723885,99.997101,99.985504,100.0,99.724503
99.812057,99.79422,99.683144,99.729805,99.718079,99.73291,99.810295,99.805138,99.755127,99.762085,99.702843,99.691437,99.724503,100.0
