snp-dists 0.8.2	A190_snps	A4_S4_snps	E100_snps	E105_snps	E106_snps	E119_snps	E120_snps	E127_snps	E133_snps	E156_snps	E183_snps	E63_snps	E64_snps	E81_snps	E96_snps	H243_S3_snps	Reference
A190_snps	0	8422	10572	13681	13681	8167	8150	8328	13076	5895	131	10567	10566	568	2987	8456	10572
A4_S4_snps	8422	0	4003	17156	17156	1379	1593	781	17176	8098	8446	3998	3997	8449	8076	1570	4003
E100_snps	10572	4003	0	18619	18619	5090	5406	4430	18636	9710	10596	17	16	10581	10248	5282	0
E105_snps	13681	17156	18619	0	0	16637	16644	17138	13773	15174	13705	18614	18613	13640	13504	16855	18619
E106_snps	13681	17156	18619	0	0	16637	16644	17138	13773	15174	13705	18614	18613	13640	13504	16855	18619
E119_snps	8167	1379	5090	16637	16637	0	496	1872	16673	8211	8189	5085	5084	8180	8073	1194	5090
E120_snps	8150	1593	5406	16644	16644	496	0	1983	16651	8203	8174	5401	5400	8198	8107	1589	5406
E127_snps	8328	781	4430	17138	17138	1872	1983	0	17171	8062	8352	4425	4424	8392	8085	2063	4430
E133_snps	13076	17176	18636	13773	13773	16673	16651	17171	0	14846	13100	18631	18630	13052	12819	16946	18636
E156_snps	5895	8098	9710	15174	15174	8211	8203	8062	14846	0	5919	9705	9704	5843	6399	8242	9710
E183_snps	131	8446	10596	13705	13705	8189	8174	8352	13100	5919	0	10591	10590	659	3011	8480	10596
E63_snps	10567	3998	17	18614	18614	5085	5401	4425	18631	9705	10591	0	11	10576	10243	5277	17
E64_snps	10566	3997	16	18613	18613	5084	5400	4424	18630	9704	10590	11	0	10575	10242	5276	16
E81_snps	568	8449	10581	13640	13640	8180	8198	8392	13052	5843	659	10576	10575	0	3116	8469	10581
E96_snps	2987	8076	10248	13504	13504	8073	8107	8085	12819	6399	3011	10243	10242	3116	0	8163	10248
H243_S3_snps	8456	1570	5282	16855	16855	1194	1589	2063	16946	8242	8480	5277	5276	8469	8163	0	5282
Reference	10572	4003	0	18619	18619	5090	5406	4430	18636	9710	10596	17	16	10581	10248	5282	0
