snp-dists 0.8.2	221_S10_snps	235_S20_snps	B6_S12_snps	C1_S13_snps	C5_S17_snps	C6_S18_snps	D3_S21_snps	D4_S22_snps	H203_snps	H206_snps	H207_snps	H241_S1_snps	H244_S4_snps	H250_S9_snps	H254_S13_snps	H270_S24_snps	Reference
221_S10_snps	0	10556	10657	10557	10568	11063	10615	11056	11059	10709	11062	10657	1204	10585	11066	10559	10559
235_S20_snps	10556	0	187	37	40	595	83	588	591	267	594	195	11532	61	598	33	33
B6_S12_snps	10657	187	0	200	207	616	234	609	612	356	615	28	11553	218	619	198	198
C1_S13_snps	10557	37	200	0	49	608	96	601	604	280	607	200	11533	74	611	40	40
C5_S17_snps	10568	40	207	49	0	615	103	608	611	287	614	207	11544	81	618	45	45
C6_S18_snps	11063	595	616	608	615	0	621	77	82	658	29	624	11606	624	63	606	606
D3_S21_snps	10615	83	234	96	103	621	0	614	617	265	620	242	11521	120	624	94	94
D4_S22_snps	11056	588	609	601	608	77	614	0	73	651	74	617	11599	617	78	599	599
H203_snps	11059	591	612	604	611	82	617	73	0	654	79	620	11602	620	83	602	602
H206_snps	10709	267	356	280	287	658	265	651	654	0	657	364	11480	298	661	278	278
H207_snps	11062	594	615	607	614	29	620	74	79	657	0	623	11605	623	60	605	605
H241_S1_snps	10657	195	28	200	207	624	242	617	620	364	623	0	11553	226	627	198	198
H244_S4_snps	1204	11532	11553	11533	11544	11606	11521	11599	11602	11480	11605	11553	0	11553	11609	11535	11535
H250_S9_snps	10585	61	218	74	81	624	120	617	620	298	623	226	11553	0	627	72	72
H254_S13_snps	11066	598	619	611	618	63	624	78	83	661	60	627	11609	627	0	609	609
H270_S24_snps	10559	33	198	40	45	606	94	599	602	278	605	198	11535	72	609	0	0
Reference	10559	33	198	40	45	606	94	599	602	278	605	198	11535	72	609	0	0
