A30,D6_S24,E110,E152,E174,E92,H193,H202
100.0,99.552109,99.758545,99.505463,99.606873,99.837624,99.590843,99.443985
99.552109,100.0,99.603424,99.600342,99.623863,99.577957,99.989799,99.54361
99.758545,99.603424,100.0,99.599884,99.829109,99.828781,99.654755,99.554794
99.505463,99.600342,99.599884,100.0,99.491425,99.567062,99.615295,99.569077
99.606873,99.623863,99.829109,99.491425,100.0,99.702957,99.626549,99.439781
99.837624,99.577957,99.828781,99.567062,99.702957,100.0,99.642212,99.511017
99.590843,99.989799,99.654755,99.615295,99.626549,99.642212,100.0,99.552925
99.443985,99.54361,99.554794,99.569077,99.439781,99.511017,99.552925,100.0
