221_S10,235_S20,B6_S12,C1_S13,C5_S17,C6_S18,D3_S21,D4_S22,H203,H206,H207,H241_S1,H244_S4,H250_S9,H254_S13,H270_S24
100.0,99.548347,99.46611,99.483772,99.531143,99.36879,99.506241,99.412781,99.33905,99.445236,99.393448,99.488144,99.750595,99.519524,99.348969,99.555824
99.548347,100.0,99.918945,99.926651,99.957733,99.848404,99.954185,99.828842,99.863594,99.902267,99.857834,99.930267,99.44075,99.968872,99.824326,99.971039
99.46611,99.918945,100.0,99.877388,99.936371,99.861237,99.930443,99.870613,99.852509,99.860779,99.853683,99.976212,99.420212,99.926872,99.840714,99.937836
99.483772,99.926651,99.877388,100.0,99.90062,99.755676,99.864944,99.77562,99.7948,99.778061,99.784805,99.873894,99.339249,99.915024,99.775085,99.940002
99.531143,99.957733,99.936371,99.90062,100.0,99.820534,99.921555,99.865509,99.857483,99.911102,99.844528,99.945831,99.440445,99.971573,99.826019,99.979218
99.36879,99.848404,99.861237,99.755676,99.820534,100.0,99.84919,99.889977,99.912712,99.819016,99.968842,99.8592,99.324829,99.863068,99.929825,99.850311
99.506241,99.954185,99.930443,99.864944,99.921555,99.84919,100.0,99.827255,99.861572,99.886765,99.85215,99.939354,99.432709,99.933006,99.826599,99.950058
99.412781,99.828842,99.870613,99.77562,99.865509,99.889977,99.827255,100.0,99.939964,99.795509,99.923599,99.868912,99.359352,99.886322,99.904892,99.850464
99.33905,99.863594,99.852509,99.7948,99.857483,99.912712,99.861572,99.939964,100.0,99.795349,99.93364,99.853653,99.347733,99.878983,99.94738,99.896881
99.445236,99.902267,99.860779,99.778061,99.911102,99.819016,99.886765,99.795509,99.795349,100.0,99.806709,99.903709,99.377831,99.887512,99.785629,99.912521
99.393448,99.857834,99.853683,99.784805,99.844528,99.968842,99.85215,99.923599,99.93364,99.806709,100.0,99.870178,99.340561,99.885704,99.934799,99.863678
99.488144,99.930267,99.976212,99.873894,99.945831,99.8592,99.939354,99.868912,99.853653,99.903709,99.870178,100.0,99.40519,99.94828,99.858307,99.945587
99.750595,99.44075,99.420212,99.339249,99.440445,99.324829,99.432709,99.359352,99.347733,99.377831,99.340561,99.40519,100.0,99.443115,99.339462,99.459007
99.519524,99.968872,99.926872,99.915024,99.971573,99.863068,99.933006,99.886322,99.878983,99.887512,99.885704,99.94828,99.443115,100.0,99.845978,99.97438
99.348969,99.824326,99.840714,99.775085,99.826019,99.929825,99.826599,99.904892,99.94738,99.785629,99.934799,99.858307,99.339462,99.845978,100.0,99.840248
99.555824,99.971039,99.937836,99.940002,99.979218,99.850311,99.950058,99.850464,99.896881,99.912521,99.863678,99.945587,99.459007,99.97438,99.840248,100.0
