snp-dists 0.8.2	223_S12_snps	A13_snps	A18_snps	A40_snps	A41_snps	A42_snps	A50_snps	E114_snps	E185_snps	E187_snps	E66_snps	E74_snps	E83_snps	H196_snps	Reference
223_S12_snps	0	3950	2492	2592	2592	2593	2491	3234	3848	1670	3167	2483	3742	4283	2492
A13_snps	3950	0	4335	4435	4435	4436	4334	4795	5730	4276	5321	4328	3264	5759	4335
A18_snps	2492	4335	0	140	140	141	39	1853	2540	2680	1862	447	4205	5078	0
A40_snps	2592	4435	140	0	0	9	139	1953	2640	2780	1962	547	4305	5178	140
A41_snps	2592	4435	140	0	0	9	139	1953	2640	2780	1962	547	4305	5178	140
A42_snps	2593	4436	141	9	9	0	140	1954	2641	2781	1963	548	4306	5179	141
A50_snps	2491	4334	39	139	139	140	0	1852	2539	2679	1861	446	4204	5077	39
E114_snps	3234	4795	1853	1953	1953	1954	1852	0	3256	3634	2583	1844	4545	5277	1853
E185_snps	3848	5730	2540	2640	2640	2641	2539	3256	0	4336	3012	2531	5678	6114	2540
E187_snps	1670	4276	2680	2780	2780	2781	2679	3634	4336	0	3657	2671	4031	4726	2680
E66_snps	3167	5321	1862	1962	1962	1963	1861	2583	3012	3657	0	1853	4852	5748	1862
E74_snps	2483	4328	447	547	547	548	446	1844	2531	2671	1853	0	4198	5068	447
E83_snps	3742	3264	4205	4305	4305	4306	4204	4545	5678	4031	4852	4198	0	5475	4205
H196_snps	4283	5759	5078	5178	5178	5179	5077	5277	6114	4726	5748	5068	5475	0	5078
Reference	2492	4335	0	140	140	141	39	1853	2540	2680	1862	447	4205	5078	0
