snp-dists 0.8.2	A5_S5_snps	E109_snps	E115_snps	E124_snps	E128_snps	E129_snps	E135_snps	E139_snps	E144_snps	E184_snps	E186_snps	E188_snps	E62_snps	E93_snps	Reference
A5_S5_snps	0	563	2529	2524	2529	2543	567	69	1033	2532	2528	2528	2533	474	2529
E109_snps	563	0	2553	2548	2553	2567	66	556	1206	2405	2552	2552	2557	757	2553
E115_snps	2529	2553	0	9	14	102	2557	2522	2499	3786	13	13	24	2797	14
E124_snps	2524	2548	9	0	9	97	2552	2517	2494	3781	8	8	19	2792	9
E128_snps	2529	2553	14	9	0	102	2557	2522	2499	3786	13	13	24	2797	0
E129_snps	2543	2567	102	97	102	0	2571	2536	2513	3800	101	101	106	2811	102
E135_snps	567	66	2557	2552	2557	2571	0	560	1204	2403	2550	2556	2561	761	2557
E139_snps	69	556	2522	2517	2522	2536	560	0	1026	2525	2521	2521	2526	467	2522
E144_snps	1033	1206	2499	2494	2499	2513	1204	1026	0	2748	2492	2498	2503	1227	2499
E184_snps	2532	2405	3786	3781	3786	3800	2403	2525	2748	0	3779	3785	3790	2749	3786
E186_snps	2528	2552	13	8	13	101	2550	2521	2492	3779	0	12	23	2796	13
E188_snps	2528	2552	13	8	13	101	2556	2521	2498	3785	12	0	23	2796	13
E62_snps	2533	2557	24	19	24	106	2561	2526	2503	3790	23	23	0	2801	24
E93_snps	474	757	2797	2792	2797	2811	761	467	1227	2749	2796	2796	2801	0	2797
Reference	2529	2553	14	9	0	102	2557	2522	2499	3786	13	13	24	2797	0
