snp-dists 0.8.2	A30_snps	D6_S24_snps	E110_snps	E152_snps	E174_snps	E92_snps	H193_snps	H202_snps	Reference
A30_snps	0	4584	1011	5325	816	692	4584	4696	1011
D6_S24_snps	4584	0	4619	5523	4422	4337	0	6194	4619
E110_snps	1011	4619	0	5671	919	919	4619	4922	0
E152_snps	5325	5523	5671	0	5413	5469	5523	5380	5671
E174_snps	816	4422	919	5413	0	682	4422	4844	919
E92_snps	692	4337	919	5469	682	0	4337	4695	919
H193_snps	4584	0	4619	5523	4422	4337	0	6194	4619
H202_snps	4696	6194	4922	5380	4844	4695	6194	0	4922
Reference	1011	4619	0	5671	919	919	4619	4922	0
