211_S1,222_S11,A1_S1,B4_S10,D5_S23,E113,E117,E136,E153,E177,E79,H200
100.0,99.947029,99.982414,99.440842,99.473862,99.960251,99.966888,99.403992,99.486908,99.410881,99.724228,99.985268
99.947029,100.0,99.970627,99.426079,99.444626,99.973358,99.960297,99.357895,99.453064,99.361801,99.649956,99.977982
99.982414,99.970627,100.0,99.460754,99.477219,99.963959,99.977356,99.388702,99.448425,99.394821,99.730743,99.986038
99.440842,99.426079,99.460754,100.0,99.889023,99.462616,99.440575,99.879967,99.367264,99.894257,99.411072,99.453735
99.473862,99.444626,99.477219,99.889023,100.0,99.476875,99.442474,99.845367,99.357643,99.913948,99.36058,99.46785
99.960251,99.973358,99.963959,99.462616,99.476875,100.0,99.969772,99.37529,99.465195,99.396072,99.701508,99.981461
99.966888,99.960297,99.977356,99.440575,99.442474,99.969772,100.0,99.39328,99.469955,99.39843,99.712021,99.988724
99.403992,99.357895,99.388702,99.879967,99.845367,99.37529,99.39328,100.0,99.260292,99.959007,99.362282,99.3862
99.486908,99.453064,99.448425,99.367264,99.357643,99.465195,99.469955,99.260292,100.0,99.302536,99.422691,99.458961
99.410881,99.361801,99.394821,99.894257,99.913948,99.396072,99.39843,99.959007,99.302536,100.0,99.416481,99.409393
99.724228,99.649956,99.730743,99.411072,99.36058,99.701508,99.712021,99.362282,99.422691,99.416481,100.0,99.733322
99.985268,99.977982,99.986038,99.453735,99.46785,99.981461,99.988724,99.3862,99.458961,99.409393,99.733322,100.0
